127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/jquery.js, HTTP/1.1, 200, 0.008710
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/calendar.js, HTTP/1.1, 200, 0.002752
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/calendar.css, HTTP/1.1, 200, 0.003048
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/styles.css, HTTP/1.1, 200, 0.003465
127.0.0.1, 2010-11-03 20:21:11, GET, /admin/static/title.png, HTTP/1.1, 200, 0.002295
127.0.0.1, 2010-11-03 20:21:13, GET, /admin/default/twitter, HTTP/1.1, 200, 1.746784
127.0.0.1, 2010-11-03 20:21:13, GET, /favicon.ico, HTTP/1.1, 400, 0.007972
127.0.0.1, 2010-11-03 20:21:20, GET, /admin/default/site, HTTP/1.1, 200, 0.347618
127.0.0.1, 2010-11-03 20:21:20, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.002615
127.0.0.1, 2010-11-03 20:21:20, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.003086
127.0.0.1, 2010-11-03 20:21:20, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.002688
127.0.0.1, 2010-11-03 20:21:20, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.017184
127.0.0.1, 2010-11-03 20:21:21, GET, /admin/static/title.png, HTTP/1.1, 304, 0.002100
127.0.0.1, 2010-11-03 20:21:23, GET, /admin/default/twitter, HTTP/1.1, 200, 2.957443
127.0.0.1, 2010-11-03 20:21:24, GET, /favicon.ico, HTTP/1.1, 400, 0.003728
127.0.0.1, 2010-11-03 20:24:06, POST, /admin/default/site, HTTP/1.1, 200, 0.160916
127.0.0.1, 2010-11-03 20:24:06, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.002303
127.0.0.1, 2010-11-03 20:24:06, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.002631
127.0.0.1, 2010-11-03 20:24:06, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.018479
127.0.0.1, 2010-11-03 20:24:06, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.005662
127.0.0.1, 2010-11-03 20:24:07, GET, /admin/static/title.png, HTTP/1.1, 304, 0.001994
127.0.0.1, 2010-11-03 20:24:08, GET, /admin/default/twitter, HTTP/1.1, 200, 2.003445
127.0.0.1, 2010-11-03 20:24:09, GET, /favicon.ico, HTTP/1.1, 400, 0.003614
127.0.0.1, 2010-11-03 20:24:28, POST, /admin/default/site, HTTP/1.1, 303, 0.272855
127.0.0.1, 2010-11-03 20:24:28, GET, /admin/default/site, HTTP/1.1, 200, 0.129957
127.0.0.1, 2010-11-03 20:24:29, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.002506
127.0.0.1, 2010-11-03 20:24:29, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.007293
127.0.0.1, 2010-11-03 20:24:29, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.017823
127.0.0.1, 2010-11-03 20:24:29, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.018772
127.0.0.1, 2010-11-03 20:24:29, GET, /admin/static/title.png, HTTP/1.1, 304, 0.003297
127.0.0.1, 2010-11-03 20:24:30, GET, /admin/default/twitter, HTTP/1.1, 200, 1.781892
127.0.0.1, 2010-11-03 20:24:31, GET, /favicon.ico, HTTP/1.1, 400, 0.002884
127.0.0.1, 2010-11-03 20:24:36, GET, /instatran/default/index, HTTP/1.1, 200, 0.125901
127.0.0.1, 2010-11-03 20:24:36, GET, /instatran/static/calendar.css, HTTP/1.1, 200, 0.002584
127.0.0.1, 2010-11-03 20:24:36, GET, /instatran/static/jquery.js, HTTP/1.1, 200, 0.003786
127.0.0.1, 2010-11-03 20:24:36, GET, /instatran/static/calendar.js, HTTP/1.1, 200, 0.002533
127.0.0.1, 2010-11-03 20:24:36, GET, /instatran/static/base.css, HTTP/1.1, 200, 0.002578
127.0.0.1, 2010-11-03 20:24:36, GET, /instatran/static/superfish.js, HTTP/1.1, 200, 0.002845
127.0.0.1, 2010-11-03 20:24:37, GET, /instatran/static/images/background.png, HTTP/1.1, 200, 0.001968
127.0.0.1, 2010-11-03 20:24:37, GET, /instatran/static/images/header.png, HTTP/1.1, 200, 0.003291
127.0.0.1, 2010-11-03 20:24:37, GET, /instatran/static/favicon.ico, HTTP/1.1, 200, 0.002447
127.0.0.1, 2010-11-04 17:44:11, GET, /, HTTP/1.1, 303, 0.004036
127.0.0.1, 2010-11-04 17:44:12, GET, /welcome/default/index, HTTP/1.1, 200, 0.914825
127.0.0.1, 2010-11-04 17:44:19, GET, /admin/default/index, HTTP/1.1, 200, 0.886886
127.0.0.1, 2010-11-04 17:44:19, GET, /admin/static/jquery.js, HTTP/1.1, 304, 0.014341
127.0.0.1, 2010-11-04 17:44:19, GET, /admin/static/calendar.css, HTTP/1.1, 304, 0.004488
127.0.0.1, 2010-11-04 17:44:19, GET, /admin/static/calendar.js, HTTP/1.1, 304, 0.001831
127.0.0.1, 2010-11-04 17:44:19, GET, /admin/static/styles.css, HTTP/1.1, 304, 0.002342
127.0.0.1, 2010-11-04 17:44:20, GET, /admin/static/title.png, HTTP/1.1, 304, 0.002437
